id,customer_id,store_id,type,amount,customer_first_name,customer_last_name,phone_number,address,timestamp
2,,,,,George,Whitney,3460610183,West Nichole,
2,,,,,George,Whitney,3460610183,West Nichole,
3,,,,,Scott,Mcfarland,3836366169,Clayview,
3,,,,,Scott,Mcfarland,3836366169,Clayview,
5,,,,,Jennifer,Anderson,7553319275,Lanefurt,
5,,,,,Jennifer,Anderson,7553319275,Lanefurt,
6,240,,,$26.04,,,,,2022-10-01 16:00:21
7,,,,,Craig,Knight,1417633000,Edwardsburgh,
7,,,,,Craig,Knight,1417633000,Edwardsburgh,
7,,,,,Richard,Frazier,1739964638,Lanefurt,
7,,,,,Richard,Frazier,1739964638,Lanefurt,
8,,,,,Gregory,Murillo,4309150882,Port Loriview,
8,,,,,Gregory,Murillo,4309150882,Port Loriview,
8,,,,,Kenneth,Jackson,1177426965,Smithberg,
8,,,,,Kenneth,Jackson,1177426965,Smithberg,
8,,,,,Nicole,Wong,9494079732,Edwardsburgh,
8,,,,,Nicole,Wong,9494079732,Edwardsburgh,
8,,,,,Wendy,Moreno,3590521547,Clayview,
8,,,,,Wendy,Moreno,3590521547,Clayview,
10,,,,,Edward,Williams,4964165436,Erikville,
10,,,,,Edward,Williams,4964165436,Erikville,
11,,,,,Travis,Tran,8638327208,Grahamstad,
11,,,,,Travis,Tran,8638327208,Grahamstad,
12,,,,,Alexa,Levy,1324725376,Robertland,
12,,,,,Alexa,Levy,1324725376,Robertland,
12,,,,,James,Dunn,0613261709,Erikville,
12,,,,,James,Dunn,0613261709,Erikville,
16,,,,,Susan,Brewer,4683203220,Lake Karina,
16,,,,,Susan,Brewer,4683203220,Lake Karina,
2,,6,,"$8,668.73",Kurt,Rodriguez,,,2022-09-30T08:55:53
4,,,0,$790.01,Samuel,Hamilton,,,2022-10-02T11:31:44
7,,,1,"$1,010.61",Jeremy,Buck,,,2022-10-01T16:27:35
9,,7,,$13.65,Nancy,Hunt,,,2022-09-29T08:39:24
9,,,1,$561.87,Stephanie,Vega,,,2022-10-01T08:10:29
11,,4,,$89.23,Annette,Zhang,,,2022-10-02T16:03:50
12,,1,,"$9,676.99",Michael,Lewis,,,2022-10-01T11:33:34
13,,,0,$82.42,Robin,Santos,,,2022-10-03T02:35:39
16,,15,,$746.12,David,Callahan,,,2022-10-01T13:12:46
17,865,,,$834.31,Angela,Morse,1786557706,Lake Jamesville,2022-10-03 06:36:50
17,865,,,$834.31,Angela,Morse,1786557706,Lake Jamesville,2022-10-03 06:36:50
17,865,,,$834.31,Ryan,Jones,9649801022,Hicksview,2022-10-03 06:36:50
17,865,,,$834.31,Ryan,Jones,9649801022,Hicksview,2022-10-03 06:36:50
18,,,,,David,Potter,0696508023,Lake Karina,
18,,,,,David,Potter,0696508023,Lake Karina,
19,,,,,Randy,Stevenson,4242669493,Lake Jamesville,
19,,,,,Randy,Stevenson,4242669493,Lake Jamesville,
20,,,,,Bridget,Banks,7850327951,Grahamstad,
20,,,,,Bridget,Banks,7850327951,Grahamstad,
20,,,,,Katherine,Vasquez,0711598377,Lanefurt,
20,,,,,Katherine,Vasquez,0711598377,Lanefurt,
20,,,,,Ruth,Fritz,5322972176,Michelleburgh,
20,,,,,Ruth,Fritz,5322972176,Michelleburgh,
21,,,,,Alicia,Glover,6521283839,Allenton,
21,,,,,Alicia,Glover,6521283839,Allenton,
21,,,,,Daniel,Perez,5000204395,Allenton,
21,,,,,Daniel,Perez,5000204395,Allenton,
22,,,,,Edward,Moore,1368629910,Lake Jamesville,
22,,,,,Edward,Moore,1368629910,Lake Jamesville,
22,,,,,Rhonda,Garza,2196305182,Brownchester,
22,,,,,Rhonda,Garza,2196305182,Brownchester,
24,,,,,Monica,Ibarra,2714940086,Clayview,
24,,,,,Monica,Ibarra,2714940086,Clayview,
27,,,,,Brian,Brown,1592636829,Lake Karina,
27,,,,,Brian,Brown,1592636829,Lake Karina,
28,,,,,Helen,Silva,7914063416,Veronicaton,
28,,,,,Helen,Silva,7914063416,Veronicaton,
30,,,,,Chad,Ruiz,4541891835,Averymouth,
30,,,,,Chad,Ruiz,4541891835,Averymouth,
30,,,,,Jennifer,Gross,7144816251,Melissafurt,
30,,,,,Jennifer,Gross,7144816251,Melissafurt,
30,,,,,Kelly,Petersen,2726826270,Lanefurt,
30,,,,,Kelly,Petersen,2726826270,Lanefurt,
31,,,,,Sara,Yang,8604827964,Melissafurt,
31,,,,,Sara,Yang,8604827964,Melissafurt,
32,779,,,$657.09,,,,,2022-10-03 11:51:13
26,,13,,$945.63,Michael,Goodman,,,2022-10-01T08:30:27
27,,10,,$30.29,Luis,Miller,,,2022-09-28T10:17:23
28,,15,,"$3,000.43",Toni,Garcia,,,2022-09-30T11:50:54
28,,,0,$8.62,Kimberly,Thompson,,,2022-10-01T15:12:29
29,,7,,"$48,422.07",Richard,Ford,,,2022-09-30T18:54:09
31,,19,,$18.74,Devin,Alexander,,,2022-10-02T03:31:13
32,,17,,$79.72,Stephanie,Cooper,,,2022-09-30T11:58:44
33,,10,,$6.18,Kimberly,Pearson,,,2022-09-29T05:18:51
33,225,,,"$8,621.93",Samuel,Hanna,9891306507,Port Loriview,2022-09-30 20:53:23
33,225,,,"$8,621.93",Samuel,Hanna,9891306507,Port Loriview,2022-09-30 20:53:23
36,,,,,John,Gentry,3286972081,Melissafurt,
36,,,,,John,Gentry,3286972081,Melissafurt,
36,,,,,Joseph,Nguyen,0964658195,Clayview,
36,,,,,Joseph,Nguyen,0964658195,Clayview,
37,,,,,Charles,Stephens,3889479460,Brownchester,
37,,,,,Charles,Stephens,3889479460,Brownchester,
37,,,,,Darlene,Lopez,3487293061,Smithberg,
37,,,,,Darlene,Lopez,3487293061,Smithberg,
34,,9,,$31.01,Darren,Jennings,,,2022-09-29T18:31:32
37,,18,,$1.78,Amy,Johnson,,,2022-09-30T19:06:41
38,141,,,$6.09,Yolanda,Jones,6593743640,Averymouth,2022-10-03 10:34:35
38,141,,,$6.09,Yolanda,Jones,6593743640,Averymouth,2022-10-03 10:34:35
39,,,,,Rhonda,Terrell,8840214376,New Marthaborough,
39,,,,,Rhonda,Terrell,8840214376,New Marthaborough,
39,,,,,Ronald,Gallagher,2871873916,Melissafurt,
39,,,,,Ronald,Gallagher,2871873916,Melissafurt,
40,,,,,Christina,Johnson,4262815371,Edwardsburgh,
40,,,,,Christina,Johnson,4262815371,Edwardsburgh,
41,,,,,Darrell,Davis,0761683085,Smithberg,
41,,,,,Darrell,Davis,0761683085,Smithberg,
42,,,,,Andrew,Arnold,5636505825,Lake Jamesville,
42,,,,,Andrew,Arnold,5636505825,Lake Jamesville,
45,,,,,Steven,Campos,7332963091,Smithberg,
45,,,,,Steven,Campos,7332963091,Smithberg,
47,,,,,Daniel,Singh,7253659588,Lake Jamesville,
47,,,,,Daniel,Singh,7253659588,Lake Jamesville,
49,,,,,Brian,Snyder,1631649707,Hicksview,
49,,,,,Brian,Snyder,1631649707,Hicksview,
50,,,,,Jeffery,Miller,6686918128,Erikville,
50,,,,,Jeffery,Miller,6686918128,Erikville,
51,,,,,Tammy,Gomez,8588925836,West Nichole,
51,,,,,Tammy,Gomez,8588925836,West Nichole,
54,,,,,Elizabeth,Bean,0345733821,Smithberg,
54,,,,,Elizabeth,Bean,0345733821,Smithberg,
54,,,,,Melissa,Davis,0648246968,Edwardsburgh,
54,,,,,Melissa,Davis,0648246968,Edwardsburgh,
55,,,,,Scott,Solis,2498876410,Clayview,
55,,,,,Scott,Solis,2498876410,Clayview,
56,,,,,Caroline,Watson,7054474158,Robertland,
56,,,,,Caroline,Watson,7054474158,Robertland,
57,,,,,Michael,Velez,4716834465,Lake Karina,
57,,,,,Michael,Velez,4716834465,Lake Karina,
41,,19,,"$7,843.86",Amy,Ross,,,2022-09-30T17:20:49
42,,9,,"$6,522.51",Kari,Riddle,,,2022-10-02T06:40:44
44,,7,,"$74,810.14",John,Murray,,,2022-10-01T05:04:34
45,,15,,"$5,706.18",Jeffrey,Wells,,,2022-09-28T01:16:37
45,,4,,$512.00,Krista,Valenzuela,,,2022-09-30T18:17:03
49,,9,,$30.69,Billy,Fernandez,,,2022-09-30T13:58:07
49,,,1,$9.95,Jimmy,Fischer,,,2022-10-01T20:41:01
53,,9,,"$1,956.68",Christopher,Allen,,,2022-09-29T04:43:10
54,,,0,$723.43,Ryan,Knight,,,2022-10-03T11:40:50
55,,5,,"$72,578.88",George,Ochoa,,,2022-09-29T21:58:56
57,,,0,$55.72,Andrea,Mcdonald,,,2022-10-03T02:49:51
58,,2,,$4.74,Valerie,Rodriguez,,,2022-09-30T19:49:50
58,50,,,"$42,763.98",Anthony,Stone,8152846478,Melissafurt,2022-10-03 10:03:19
58,50,,,"$42,763.98",Anthony,Stone,8152846478,Melissafurt,2022-10-03 10:03:19
58,50,,,"$42,763.98",Miranda,Phelps,8931248191,Michelleburgh,2022-10-03 10:03:19
58,50,,,"$42,763.98",Miranda,Phelps,8931248191,Michelleburgh,2022-10-03 10:03:19
60,,,,,Katrina,Thompson,8035098772,Michelleburgh,
60,,,,,Katrina,Thompson,8035098772,Michelleburgh,
63,,,,,Darlene,Hernandez,5382270546,Hicksview,
63,,,,,Darlene,Hernandez,5382270546,Hicksview,
63,,,,,Joshua,Pena,4028362607,Lake Jamesville,
63,,,,,Joshua,Pena,4028362607,Lake Jamesville,
63,,,,,Lauren,Nichols,2691289421,Clayview,
63,,,,,Lauren,Nichols,2691289421,Clayview,
64,,,,,Jeffrey,Hoffman,3467201313,Smithberg,
64,,,,,Jeffrey,Hoffman,3467201313,Smithberg,
64,,,,,Kathleen,Ellis,3324102014,Hicksview,
